SMILES,CASRN,RECORDID,MOLECULEID,NAME,ARTICLEID,PAGE,TABLE,AMES,Dataset,Cell strain,S9 metabolic bioactivation,COMMENTS,INCHI_KEY
CC(CC1=CC=C(O)C(O)=C1)C(C)CC1=CC=C(O)C(O)=C1,-,R279715,M3719,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HCZKYJDFEPMADG-UHFFFAOYSA
C1=CC2=C(C=C1)C1=C(C=NC3=CC=CC=C13)C=N2,-,R279716,M15032,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VHMPUASQIHDEJU-UHFFFAOYSA
C=CC#N,-,R279717,M7405,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,NLHHRLWOUZZQLW-UHFFFAOYSA
COC(=O)NC1=NC2=C(N1)C=CC(O)=C2,-,R279718,M131856,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UINGPWWYGSJYAY-UHFFFAOYSA
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2NO,-,R279719,M57788,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QROZCFCNYCVEDO-KQYNXXCUSA
CCN(CC)C1=CC=C(C=C1)N=NC1=CC=CC=C1,-,R279720,M26956,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,SJJISKLXUJVZOA-UHFFFAOYSA
CCOCCOC(=O)\C=C/C1=CC=C(OC)C=C1,-,R279721,M119795,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CMDKPGRTAQVGFQ-TWGQIWQCSA
NC1=NC2=C(N1)C=CC=C2,-,R279722,M51582,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JWYUFVNJZUSCSM-UHFFFAOYSA
N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O,-,R279723,M9177,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QIVBCDIJIAJPQS-SECBINFHSA
OC1(O)C(=O)NC(=O)NC1=O,-,R279624,M27997,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZIIHZVKHFWOENY-UHFFFAOYSA
CC(C(O)=O)C1=CC=C2C(NC3=C2C=C(Cl)C=C3)=C1,-,R279625,M8830,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PUXBGTOOZJQSKH-UHFFFAOYSA
OCC1OC(CC1O)N1C=C(I)C(=O)NC1=O,-,R279626,M13157,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XQFRJNBWHJMXHO-UHFFFAOYSA
CCC(CO)N(=O)=O,-,R279627,M22368,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MHIHRIPETCJEMQ-UHFFFAOYSA
OC(=O)CCCC1=CC=C(NCCCl)C=C1,-,R279628,M131836,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JKJKVYIHGWHFSO-UHFFFAOYSA
CC1=CC=C(Cl)C=C1,-,R279629,M7487,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NPDACUSDTOMAMK-UHFFFAOYSA
OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,-,R279630,M4515,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IMZMKUWMOSJXDT-UHFFFAOYSA
FC1=CC2=C(N=CC=C2)C2=C1C=CC=N2,-,R279631,M131837,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OBZDPBGLVLYHPV-UHFFFAOYSA
CC1=CC(C)=C(N)C2=NSN=C12,-,R279632,M120002,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IZYPJNPGZJAWLQ-UHFFFAOYSA
ONC1=CC=CC(=C1)C1=CC=CC=C1,-,R279633,M131838,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XJKZOAGQMDVYBE-UHFFFAOYSA
NC1=CC=C2C=CC=CC2=C1S(O)(=O)=O,-,R279634,M17633,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GWIAAIUASRVOIA-UHFFFAOYSA
OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,-,R279635,M1847,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,DCOPUUMXTXDBNB-UHFFFAOYSA
OC(=O)CCCC1=CNC2=C1C=CC=C2,-,R279636,M19406,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JTEDVYBZBROSJT-UHFFFAOYSA
C1CC2=CC=C3N=C4C=CC5=C(C=CC=C5)C4=CC3=C2C=C1,-,R279637,M120047,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FEKYREOUKCKIGZ-UHFFFAOYSA
OC1=CC2=C3C(C=CC4=C3C1=CC=C4)=CC=C2N(=O)=O,-,R279638,M131839,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CIIOACBBIMHZQA-UHFFFAOYSA
OC1=C(Cl)C=C(Cl)C=C1Cl,-,R279639,M6189,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LINPIYWFGCPVIE-UHFFFAOYSA
CC1=CC=CO1,-,R279640,M21373,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VQKFNUFAXTZWDK-UHFFFAOYSA
C=CCNCC=C,-,R279641,M2392,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,DYUWTXWIYMHBQS-UHFFFAOYSA
CC1=CC(=CC(=C1O)N(=O)=O)N(=O)=O,-,R279642,M14504,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZXVONLUNISGICL-UHFFFAOYSA
OC1COC(NC2=CC=C(C=C2)C(O)=O)C(O)C1O,-,R279643,M131840,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HLDUHCYBUVVDOT-UHFFFAOYSA
CC(=O)C1(C)OC11C(=O)C=CC2=CC=CC=C12,-,R279644,M14773,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RYQVPNYYLXBCST-UHFFFAOYSA
CCC1=C2C=CC3=C(C=CC=C3)C2=C(CC)C2=C1C=CC=C2,-,R279645,M120264,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CIFPUMMYFBMFKK-UHFFFAOYSA
CC(=O)C1=CC=CN1,-,R279646,M24457,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IGJQUJNPMOYEJY-UHFFFAOYSA
COC1=CC(N)=C(OC)C=C1N,-,R279647,M131841,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FOVOBTLEKSQTFG-UHFFFAOYSA
O1C2=CC=CC=C2SC2=CC=CC=C12,-,R279648,M3271,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GJSGGHOYGKMUPT-UHFFFAOYSA
O=N(=O)C1=CC=C2C(=C1)C1=NC3=C(C=CC=C3)C3=C1C2=NC1=C3C=CC=C1,-,R279649,M15031,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OWUAMBVUIQBHJG-UHFFFAOYSA
COC1=CC2=C(C(O)=C1O)C(=O)C1=C(O)C=C(C)C=C1C2=O,-,R279650,M119777,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FRMFHVHHFVPACC-UHFFFAOYSA
C=CC1=CC=CN=C1,-,R279651,M24642,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,DPZYLEIWHTWHCU-UHFFFAOYSA
CC1(C)S[C@@H]2[C@@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,-,R279652,M119734,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JGSARLDLIJGVTE-SGMGOOAPSA
NC1=CC=C2C=CC3=C4C(C=CC1=C24)=CC=C3,-,R279653,M25454,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YZVWKHVRBDQPMQ-UHFFFAOYSA
CCCCCC[C@H](O)C\C=C/CCCCCCCC(O)=O,-,R279654,M120580,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,WBHHMMIMDMUBKC-GKUQOKNUSA
OCCSN=O,-,R279655,M131842,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,AVGNNQMFRRYDBY-UHFFFAOYSA
O=NN1CCNC1=O,-,R279656,M28760,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GDKLCVAXQJFVJV-UHFFFAOYSA
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,-,R279657,M7465,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NNYBQONXHNTVIJ-UHFFFAOYSA
C\C=C\Cl,-,R279658,M51169,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OWXJKYNZGFSVRC-NSCUHMNNSA
NC1=C2C=CC=CC2=C(C=C1N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=C(N)C2=C(C=CC=C2)C(=C1)S(O)(=O)=O)S(O)(=O)=O,-,R279659,M120606,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,HFHIDKQMGIGARX-UHFFFAOYSA
O=N(=O)C1=CC=C(OCC2CO2)C=C1,-,R279660,M30020,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FPIGOBKNDYAZTP-UHFFFAOYSA
S1C2=C(C=CC=C2)C2=C1C1=CC=CC=C1C=C2,-,R279661,M19794,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YEUHHUCOSQOCIX-UHFFFAOYSA
OC1=CC=CC=C1NC1=CC=C(C=C1N(=O)=O)N(=O)=O,-,R279662,M119999,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IKBVHBLOMZBKQR-UHFFFAOYSA
C1O[C@@H]1C1=CC=C2C=CC3=C4C(C=CC1=C24)=CC=C3,-,R279663,M119869,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SWMBSMJCJWZRNR-INIZCTEOSA
CC(C)N(=O)=O,-,R279664,M2581,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FGLBSLMDCBOPQK-UHFFFAOYSA
OCC(O)COP(O)(O)=O,-,R279665,M17159,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,AWUCVROLDVIAJX-UHFFFAOYSA
OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(O)=C2)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C1OC(=O)C1=CC(O)=C(O)C(O)=C1,-,R279666,M131843,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KWKVBTAUKNIWRZ-UHFFFAOYSA
CCN(CC)N=O,-,R279667,M12135,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WBNQDOYYEUMPFS-UHFFFAOYSA
CC(=O)C1=CC=C(C=C1)N(=O)=O,-,R279668,M13736,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YQYGPGKTNQNXMH-UHFFFAOYSA
COC1=C(O)C2=C(CCN2C(N)=O)C2=C1NC(=C2)C(=O)N1CCC2=C1C(O)=C(OC)C1=C2C=C(N1)C(=O)N1CC2CC22C1=CC(=O)C1=C2C(C)=CN1,-,R279669,M101105,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UOWVMDUEMSNCAV-UHFFFAOYSA
COC12OOC1(C)OC1=CC=CC=C21,-,R279670,M131844,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LWXUSVIZJFTNRN-UHFFFAOYSA
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1O,-,R279671,M120340,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OMYMRCXOJJZYKE-UHFFFAOYSA
C[Si](C)(C)CN(N=O)C(N)=O,-,R279672,M131845,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,HVINTXAXXZKQGX-UHFFFAOYSA
ClC(CBr)CBr,-,R279673,M120562,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XVNNFWXQUNVAQM-UHFFFAOYSA
OC1=C2C=NN=C2N=CN1,-,R279574,M7869,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OFCNXPDARWKPPY-UHFFFAOYSA
NC1=CC=CC=C1O,-,R279575,M1251,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CDAWCLOXVUBKRW-UHFFFAOYSA
O=NN1CCSCC1,-,R279576,M8065,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OMDNEQQMLDYBTR-UHFFFAOYSA
CC1(CO1)C=C,-,R279577,M131825,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FVCDMHWSPLRYAB-UHFFFAOYSA
CNC1CC2=CC=CC3=C2C(C1)=CC=C3,-,R279578,M120451,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LSCMDCFJJZUETI-UHFFFAOYSA
C[N+]1=C2C=CC=CC2=CC2=C1C=CC(N)=C2,-,R279579,M120742,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RXELMKZNPCBWLG-UHFFFAOYSA
OC1=CC2=C(C=CC=C2)C2=C1C1=C(C=CC=C1)C=C2,-,R279580,M120792,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BLZIYSWEDXTZTE-UHFFFAOYSA
CN1CC(CO)=C[C@@H]2[C@H]1CC1=CN(CC=C)C3=C1C2=CC=C3,-,R279581,M120830,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,INGYAWPTEWYFHI-FUHWJXTLSA
NC1=NC=NC2=C1N=CN2CC1=CC=CC=C1,-,R279582,M29151,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MRHCSNNEUHXNIC-UHFFFAOYSA
NC1=CC=C(CC2=CC=C(N)C(CC3=CC=C(N)C=C3)=C2)C=C1,-,R279583,M82256,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KKVLCJIOPNYOQN-UHFFFAOYSA
CC(C)CON=O,-,R279584,M21511,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,APNSGVMLAYLYCT-UHFFFAOYSA
CC1=CC=C(C=C1N(CCCl)CCCl)C(O)(P(O)(O)=O)P(O)(O)=O,-,R279585,M120056,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SBZOGCANHKAYKV-UHFFFAOYSA
CCOC(OCC)\C=C(\C)CCC=C(C)C,-,R279586,M122995,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NTXGFKWLJFHGGJ-QBFSEMIESA
CCCC1=CC=C2OCOC2=C1,-,R279587,M18112,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MYEIDJPOUKASEC-UHFFFAOYSA
CC(C)N1C(\C=C\[C@H](O)C[C@@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1,-,R279588,M2647,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FJLGEFLZQAZZCD-FUTHQCHMSA
CC[N+](CC)=C1C=CC2=NC3=C(OC2=C1)C=C(N)C1=C3C=CC=C1,-,R279589,M120583,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YQSIDWSTCJNDPD-UHFFFAOYSA
NC1=CC=C(N)C2=C1C=CC=C2,-,R279590,M26551,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OKBVMLGZPNDWJK-UHFFFAOYSA
Cl\C=C(/Cl)C(Cl)Cl,-,R279591,M59751,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JUGQRTGGLWOBPG-UPHRSURJSA
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,-,R279592,M5710,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KNHUKKLJHYUCFP-UHFFFAOYSA
OCC(O)C(O)C(O)C(NC(=O)N(CCCl)N=O)C=O,-,R279593,M55254,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MKQWTWSXVILIKJ-UHFFFAOYSA
CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C(O)=C3C(=O)C2=C1,-,R279594,M131826,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ITCNKLLBKUYLLV-UHFFFAOYSA
OC1=CC(O)=CC=C1,-,R279595,M3218,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GHMLBKRAJCXXBS-UHFFFAOYSA
CC(=O)OCC1=C2C=CC3=C(C=CC=C3)C2=CC2=C1C=CC=C2,-,R279596,M120287,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,TUXPBTQUURFHPD-UHFFFAOYSA
CC1=CC(=CC(C)=C1N)C1=CC(C)=C(N)C(C)=C1,-,R279597,M38097,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UAIUNKRWKOVEES-UHFFFAOYSA
CC(=C)C1=CC=C(C)C2=CC=C(C=O)C2=C1,-,R279598,M17767,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PUEUPUYRYIOTKZ-UHFFFAOYSA
COC1=CC=C2C=C(C3=C(OC(=O)C=C3)C2=C1)N(=O)=O,-,R279599,M131827,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FEFDFGCKFYFWHV-UHFFFAOYSA
CC(=O)C1=CCC2C3=CCC4=CC(O)C(O)CC4(C)C3CC(O)C12C,-,R279600,M131828,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IWQKGRNFKYKJHS-UHFFFAOYSA
OC(=O)C1=C(Cl)C=CC=C1Cl,-,R279601,M16958,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MRUDNSFOFOQZDA-UHFFFAOYSA
CC(C)(C)NC(=O)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O,-,R279602,M15001,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OQCYRKLITMANPY-UHFFFAOYSA
CC(=O)NC1=CC=C(C=C1)C(O)=O,-,R279603,M9034,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QCXJEYYXVJIFCE-UHFFFAOYSA
O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,-,R279604,M10897,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,TZRXHJWUDPFEEY-UHFFFAOYSA
O=N(=O)\C=C\C1=CC=CO1,-,R279605,M51305,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,WVUICGOYGDHVBH-ONEGZZNKSA
COC1=CC(=O)C=CC1=O,-,R279606,M27526,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZJKWJHONFFKJHG-UHFFFAOYSA
O=C(OCC1CO1)C1=CC=C(C=C1)N(=O)=O,-,R279607,M131829,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MUWIANZPEBMVHH-UHFFFAOYSA
CN(OC(C)=O)C1=CC=C(C=C1)N=NC1=CC=CC=C1,-,R279608,M131830,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GDURQQNIYCFHSV-UHFFFAOYSA
COC1=CC=C(\C=C\C)C(OC)=C1,-,R279609,M131831,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,SKWTXGMULLCOGN-SNAWJCMRSA
ClC1=C(CBr)COC1=O,-,R279610,M131832,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,AXFXZYOIFHVDGB-UHFFFAOYSA
CC1=CC=CC2=C1C=C(C=C2)N(=O)=O,-,R279611,M131833,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YAXWLSIDOXNUDW-UHFFFAOYSA
O[C@@H]1CCO[P@](=O)(N1)N(CCCl)CCCl,-,R279612,M120972,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RANONBLIHMVXAJ-KWKYVRJSSA
OC1(CCCCC1)C#N,-,R279613,M24086,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZDBRPNZOTCHLSP-UHFFFAOYSA
ONC(=O)C1=CC=C(O)C(O)=C1,-,R279614,M120711,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QJMCKEPOKRERLN-UHFFFAOYSA
CC(C)CC1NC(=O)CNC1=O,-,R279615,M14752,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VQFHWKRNHGHZTK-UHFFFAOYSA
C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,-,R279616,M8603,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PJANXHGTPQOBST-VAWYXSNFSA
CC1=C(C=C(C=C1N(=O)=O)N=[N+](O)C1=CC(=C(C)C(=C1)N(=O)=O)N(=O)=O)N(=O)=O,-,R279617,M131834,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GMZXKTHHWIAIIB-UHFFFAOYSA
NC1=NC(=NC2=C1N=CN2C1=CC=C(C=C1)N(=O)=O)C1=CC=C(C=C1)N(=O)=O,-,R279618,M131835,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PFQXBOJKUUTXPL-UHFFFAOYSA
OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,-,R279619,M10691,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,SVHOVVJFOWGYJO-UHFFFAOYSA
C[C@@H](O)COC(C)(C)C,-,R279620,M119755,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GQCZPFJGIXHZMB-ZCFIWIBFSA
CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)N[C@H]2[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]3CCCN3C(=O)[C@@H](NC2=O)C(C)C)[C@@H](C)OC(=O)[C@@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,-,R279621,M120557,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RJURFGZVJUQBHK-CIZVLEEUSA
O=NN1CCCCCCC1,-,R279622,M35140,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RCFKQVLHWYOSFF-UHFFFAOYSA
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,-,R279623,M17590,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VPWNQTHUCYMVMZ-UHFFFAOYSA
OC1=CC=C(\C=N\C2=C3C=CC=CC3=NS2)C=C1,-,R279524,M131811,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,HHRGUEHEQHMKGB-OQLLNIDSSA
CC(=O)C1=CC=C(C=C1)N=O,-,R279525,M131812,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FPAWCBFVQUUUIB-UHFFFAOYSA
CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)N(=O)=O,-,R279526,M12810,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XCGYUJZMCCFSRP-UHFFFAOYSA
CC(C)(OO)C1=CC=CC=C1,-,R279527,M17595,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YQHLDYVWEZKEOX-UHFFFAOYSA
NC1=CC=C(N)C2=C1C(=O)C1=C(C2=O)C(=CC=C1)N(=O)=O,-,R279528,M17668,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SDICTISQCKLMEB-UHFFFAOYSA
OC(=O)CN(CC(O)=O)CC(O)=O,-,R279529,M19502,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MGFYIUFZLHCRTH-UHFFFAOYSA
COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O,-,R279530,M55218,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ACTIUHUUMQJHFO-UPTCCGCDSA
C[C@H](CCC1=CC=CC=C1)C1=CC=CC=C1,-,R279531,M131813,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PDINXYLAVFUHSA-CQSZACIVSA
CC1=CC2=NC3=CC=C(C)C(N)=C3N=C2C=C1N,-,R279532,M120131,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XBUUPDGMEFMISI-UHFFFAOYSA
CS(C)=O,-,R279533,M4265,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IAZDPXIOMUYVGZ-UHFFFAOYSA
CNC(=O)C1=CC=CC=C1,-,R279534,M7181,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NCCHARWOCKOHIH-UHFFFAOYSA
O=CNNC1=NC(=CS1)C1=CC=C(O1)N(=O)=O,-,R279535,M14975,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DUWYZHLZDVCZIO-UHFFFAOYSA
COCCOC,-,R279536,M18737,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XTHFKEDIFFGKHM-UHFFFAOYSA
OC1=CC=CC2=C1C=CC1=C2C2=C(N1)C=CC1=C2C=CC=C1,-,R279537,M120763,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SZRBLGVVQDTOOJ-UHFFFAOYSA
COP(O)(O)=O,-,R279538,M23666,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CAAULPUQFIIOTL-UHFFFAOYSA
CCCCOC(C)=O,-,R279539,M2033,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,DKPFZGUDAPQIHT-UHFFFAOYSA
ClC1=C(Cl)C(Cl)(C(Cl)=C1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-,R279540,M6519,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LWLJUMBEZJHXHV-UHFFFAOYSA
O=N(=O)C1=CC=C2C=CC3=C4C(C=CC1=C24)=CC1=C3CCCC1,-,R279541,M120811,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GMGGMXJWIUFFNB-UHFFFAOYSA
OC(=O)C1=CC=CC=C1NC1=CC=CC(=C1)C(F)(F)F,-,R279542,M6354,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LPEPZBJOKDYZAD-UHFFFAOYSA
COC1=CC=C(CCl)C=C1,-,R279543,M23749,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MOHYOXXOKFQHDC-UHFFFAOYSA
ClC(Cl)C(=O)C(Cl)Cl,-,R279544,M23000,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DJWVKJAGMVZYFP-UHFFFAOYSA
OC1C(O)C2=CC3=C(C=C2CC1=O)C=C(C=C3)N(=O)=O,-,R279545,M131814,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JADYKDUQDFUWCA-UHFFFAOYSA
CC[C@H]1CO1,-,R279546,M120907,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RBACIKXCRWGCBB-BYPYZUCNSA
CN1C(N)=NC2=C1C(C)=C(C)C1=C2N=C(C)C(C)=N1,-,R279547,M120213,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JVQARNVOLWRXJG-UHFFFAOYSA
C=CN=NC1=CC=CC=C1,-,R279548,M119936,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IQIJRJNHZYUQSD-UHFFFAOYSA
CN1C[C@@H](C2=CC=CC=C2)C2=CC=CC(N)=C2C1,-,R279549,M121129,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XXPANQJNYNUNES-AWEZNQCLSA
CCOC(=O)C1=CC2=CC3=C4N(CCC3)CCCC4=C2OC1=O,-,R279550,M64272,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VMJKUPWQKZFFCX-UHFFFAOYSA
